	Coup_Droit	Revers	Service Vole	Retour	Smash	Jeu_de_jambe	Lob	Amorti	Passing	Regularite	Touche	Psychisme	Physique	Jeu_en_double 
ARIAS	8.00 	5.00 	3.00 	2.00 	6.00 	3.00 	6.00 	5.00 	2.00 	6.00 	6.00 	3.00 	4.00 	3.00 	0.00 
BECKER	8.00 	7.00 	10.00 	8.00 	7.00 	9.00 	6.00 	5.00 	3.00 	6.00 	5.00 	5.00 	7.00 	8.00 	6.00 
BORG	10.00 	9.00 	7.00 	5.00 	9.00 	9.00 	10.00 	7.00 	4.00 	10.00 	10.00 	5.00 	10.00 	10.00 	2.00 
CARLSSON	6.00 	5.00 	2.00 	2.00 	6.00 	2.00 	6.00 	4.00 	2.00 	6.00 	6.00 	2.00 	4.00 	5.00 	0.00 
CASH	5.00 	4.00 	6.00 	7.00 	5.00 	7.00 	6.00 	3.00 	3.00 	4.00 	4.00 	3.00 	7.00 	6.00 	7.00 
CLERC	7.00 	6.00 	4.00 	3.00 	5.00 	3.00 	6.00 	6.00 	3.00 	6.00 	6.00 	4.00 	3.00 	5.00 	2.00 
CONNORS	7.00 	10.00 	4.00 	6.00 	10.00 	7.00 	9.00 	9.00 	6.00 	9.00 	8.00 	6.00 	9.00 	6.00 	0.00 
CURREN	4.00 	4.00 	8.00 	7.00 	6.00 	6.00 	5.00 	3.00 	4.00 	4.00 	4.00 	4.00 	2.00 	5.00 	7.00 
EDBERG	5.00 	8.00 	8.00 	8.00 	6.00 	6.00 	6.00 	3.00 	4.00 	5.00 	5.00 	6.00 	5.00 	7.00 	8.00 
FORGET	7.00 	4.00 	6.00 	5.00 	5.00 	5.00 	5.00 	4.00 	4.00 	5.00 	4.00 	4.00 	3.00 	4.00 	8.00 
GERULAITIS	6.00 	5.00 	6.00 	10.00 	4.00 	6.00 	8.00 	4.00 	10.00 	5.00 	5.00 	10.00 	4.00 	5.00 	5.00 
GOMEZ	8.00 	5.00 	4.00 	5.00 	4.00 	5.00 	5.00 	5.00 	4.00 	5.00 	4.00 	4.00 	3.00 	5.00 	7.00 
GOTTFRIED	6.00 	5.00 	6.00 	9.00 	6.00 	7.00 	6.00 	6.00 	6.00 	6.00 	5.00 	7.00 	5.00 	5.00 	8.00 
HIGUERAS	7.00 	6.00 	4.00 	2.00 	6.00 	3.00 	6.00 	5.00 	2.00 	7.00 	8.00 	3.00 	5.00 	5.00 	0.00 
JAITE	6.00 	5.00 	3.00 	4.00 	5.00 	4.00 	5.00 	4.00 	2.00 	5.00 	5.00 	2.00 	6.00 	3.00 	0.00 
JARRYD	5.00 	5.00 	5.00 	5.00 	4.00 	5.00 	5.00 	4.00 	4.00 	5.00 	5.00 	5.00 	4.00 	5.00 	8.00 
KRICKSTEIN	7.00 	5.00 	3.00 	3.00 	5.00 	4.00 	5.00 	5.00 	5.00 	5.00 	5.00 	5.00 	3.00 	5.00 	0.00 
KRIEK	5.00 	5.00 	5.00 	6.00 	5.00 	6.00 	9.00 	4.00 	3.00 	4.00 	1.00 	6.00 	2.00 	6.00 	4.00 
LECONTE	7.00 	6.00 	7.00 	7.00 	6.00 	6.00 	6.00 	4.00 	4.00 	6.00 	4.00 	6.00 	4.00 	4.00 	6.00 
LENDL	9.00 	8.00 	7.00 	5.00 	8.00 	6.00 	8.00 	8.00 	4.00 	8.00 	9.00 	5.00 	7.00 	8.00 	3.00 
MACENROE	7.00 	8.00 	10.00 	10.00 	8.00 	9.00 	9.00 	7.00 	10.00 	8.00 	7.00 	10.00 	8.00 	6.00 	9.00 
MAYOTTE	5.00 	4.00 	7.00 	8.00 	4.00 	6.00 	6.00 	4.00 	3.00 	4.00 	4.00 	4.00 	4.00 	6.00 	6.00 
MECIR	7.00 	7.00 	5.00 	5.00 	6.00 	4.00 	5.00 	6.00 	9.00 	8.00 	4.00 	7.00 	3.00 	5.00 	3.00 
NOAH	5.00 	5.00 	10.00 	8.00 	4.00 	10.00 	6.00 	4.00 	7.00 	5.00 	6.00 	7.00 	7.00 	8.00 	8.00 
NYSTROEM	8.00 	7.00 	3.00 	4.00 	7.00 	5.00 	8.00 	7.00 	2.00 	8.00 	8.00 	3.00 	6.00 	6.00 	6.00 
PECCI	4.00 	4.00 	6.00 	7.00 	4.00 	6.00 	5.00 	4.00 	6.00 	4.00 	2.00 	6.00 	4.00 	6.00 	6.00 
PERNFORS	6.00 	6.00 	4.00 	4.00 	6.00 	5.00 	6.00 	8.00 	6.00 	7.00 	6.00 	6.00 	7.00 	4.00 	2.00 
SANCHEZ	5.00 	5.00 	4.00 	2.00 	5.00 	4.00 	5.00 	5.00 	2.00 	5.00 	6.00 	2.00 	4.00 	4.00 	6.00 
SOLOMON	8.00 	6.00 	2.00 	1.00 	7.00 	3.00 	8.00 	7.00 	3.00 	7.00 	8.00 	4.00 	7.00 	6.00 	0.00 
TANNER	5.00 	4.00 	10.00 	9.00 	5.00 	9.00 	6.00 	4.00 	4.00 	5.00 	3.00 	5.00 	7.00 	7.00 	5.00 
TELTSCHER	5.00 	5.00 	3.00 	3.00 	5.00 	4.00 	6.00 	5.00 	3.00 	6.00 	6.00 	4.00 	4.00 	4.00 	2.00 
TULASNE	5.00 	5.00 	4.00 	3.00 	5.00 	4.00 	5.00 	4.00 	2.00 	5.00 	5.00 	3.00 	4.00 	4.00 	0.00 
VILAS	8.00 	7.00 	4.00 	3.00 	7.00 	5.00 	8.00 	8.00 	5.00 	8.00 	8.00 	4.00 	7.00 	8.00 	0.00 
WILANDER	7.00 	8.00 	4.00 	5.00 	7.00 	5.00 	8.00 	9.00 	5.00 	8.00 	7.00 	5.00 	6.00 	7.00 	6.00 
ZIVOJINOVIC	4.00 	4.00 	6.00 	6.00 	3.00 	7.00 	4.00 	3.00 	4.00 	4.00 	4.00 	4.00 	5.00 	7.00 	7.00 


