Lang code	Lang name	Mono+c_acc	Mono+c_stdev	Mono−c_acc	Mono−c_stdev	Multi+c_acc	Multi+c_stdev	Multi−c_acc	Multi−c_stdev	Multi+c_W22_acc	Multi+c_W22_stdev	Multi−c_W22_acc	Multi−c_W22_stdev	Multi+c_ID_acc	Multi+c_ID_stdev	Multi−c_ID_acc	Multi−c_ID_stdev	ZS+c_acc	ZS+c_stdev	ZS−c_acc	ZS−c_stdev	ZS+c_W22_acc	ZS+c_W22_stdev	ZS−c_W22_acc	ZS−c_W22_stdev
ar	Arabic	92,94	0,10	90,80	0,05	92,03	0,23	89,09	0,02	92,56	0,02	90,35	0,13	92,57	0,05	90,38	0,17	60,23	0,58	66,88	1,73	64,94	0,85	62,42	1,41
bg	Bulgarian	95,73	0,08	92,25	0,09	95,09	0,04	90,84	0,05	95,66	0,11	91,78	0,04	95,77	0,02	92,00	0,02	78,16	0,38	79,65	0,08	76,40	0,88	77,80	0,11
ca	Catalan	95,84	0,05	90,87	0,10	95,22	0,04	89,60	0,05	96,06	0,01	91,46	0,05	96,11	0,06	91,44	0,05	83,48	0,06	77,39	0,17	82,63	0,60	76,61	0,08
cs	Czech	95,12	0,07	90,71	0,05	94,02	0,01	88,97	0,08	94,81	0,01	90,41	0,07	94,89	0,05	90,64	0,07	81,11	0,09	79,03	0,10	76,97	2,27	76,06	1,48
da	Danish	92,41	0,05	87,50	0,13	91,34	0,10	87,27	0,14	92,59	0,05	88,86	0,25	93,12	0,08	89,25	0,16	83,93	0,05	80,88	0,26	84,43	0,16	80,89	0,02
de	German	89,16	0,04	81,91	0,57	88,94	0,15	82,06	0,02	89,13	0,05	82,46	0,22	89,53	0,09	83,01	0,05	53,84	1,59	53,39	0,54	48,63	0,26	49,37	0,98
el	Greek	95,47	0,05	91,56	0,17	95,28	0,04	90,96	0,08	95,48	0,05	91,62	0,22	95,31	0,01	91,38	0,16	47,61	0,45	60,02	0,21	52,34	1,69	60,79	0,02
en	English	89,54	0,12	85,80	0,16	88,53	0,00	84,89	0,02	89,14	0,12	85,89	0,02	89,24	0,14	86,01	0,15	27,96	0,11	25,78	0,78	29,90	6,20	27,51	1,38
es	Spanish	93,22	0,02	90,11	0,10	94,00	0,01	90,83	0,01	92,13	0,07	89,88	0,07	92,16	0,03	89,66	0,04	88,69	0,12	85,81	0,44	87,11	0,16	85,62	0,14
et	Estonian	90,02	0,13	81,50	0,10	86,49	0,16	78,15	0,24	88,77	0,04	81,80	0,19	88,78	0,12	81,64	0,17	63,55	0,08	62,24	0,31	64,74	0,11	62,82	0,35
eu	Basque	90,62	0,10	84,73	0,33	88,16	0,11	81,16	0,11	89,92	0,05	83,94	0,08	89,75	0,02	83,94	0,05	55,73	0,11	54,87	0,20	54,36	0,38	50,77	0,61
fa	Farsi (Persian)	94,83	0,02	92,47	0,14	93,78	0,00	90,44	0,03	94,53	0,08	92,01	0,05	94,47	0,19	91,99	0,03	56,24	1,00	68,72	0,70	62,24	4,23	62,30	1,30
fi	Finnish	84,90	0,10	77,45	0,15	82,25	0,02	75,53	0,17	83,12	0,07	77,14	0,03	83,25	0,12	77,12	0,22	67,08	0,03	65,89	0,15	66,38	0,42	64,89	0,45
fr	French	93,45	0,02	88,67	0,09	92,97	0,02	88,63	0,15	93,35	0,06	89,40	0,03	93,59	0,04	89,49	0,02	78,29	1,07	77,12	0,90	75,81	0,44	69,78	3,72
ga	Irish	89,11	0,09	82,84	0,12	87,02	0,03	80,23	0,14	89,09	0,23	83,30	0,17	88,78	0,12	83,16	0,11	45,28	0,32	44,20	0,36	41,03	2,33	39,20	0,48
he	Hebrew	94,45	0,05	92,57	0,03	93,84	0,03	91,05	0,12	94,15	0,02	92,25	0,07	94,10	0,05	92,00	0,12	52,30	0,80	55,16	0,70	53,95	2,64	55,31	0,80
hi	Hindi	93,62	0,08	92,30	0,01	92,75	0,15	90,39	0,20	92,92	0,08	91,19	0,05	93,05	0,00	91,42	0,02	35,67	2,82	60,55	0,23	39,12	0,00	58,09	4,14
hr	Croatian	94,30	0,07	89,42	0,19	93,38	0,12	88,00	0,01	94,28	0,10	89,66	0,09	94,22	0,07	89,78	0,25	83,07	0,16	79,01	0,59	81,79	0,81	77,98	0,58
hu	Hungarian	92,90	0,01	84,85	0,18	90,72	0,27	82,92	0,28	92,37	0,07	85,69	0,16	92,68	0,15	85,72	0,16	60,67	1,02	59,59	0,83	60,88	1,45	62,59	2,09
id	Indonesian	90,64	0,04	85,61	0,05	89,30	0,11	83,00	0,01	90,76	0,18	86,01	0,08	90,76	0,17	85,92	0,03	59,04	0,54	57,54	0,30	57,50	0,11	52,88	1,70
it	Italian	94,30	0,03	91,30	0,15	93,94	0,02	90,50	0,13	94,50	0,03	91,47	0,02	94,79	0,01	91,67	0,02	77,09	0,45	78,26	0,35	76,56	0,92	77,04	0,29
